,cityName,longitude,latitude
0,武汉,114.3115815547323,30.59846673640099
1,黄冈,114.8784904841078,30.459358857618103
2,孝感,113.92251007733664,30.930689227018288
3,襄阳,112.12853720100244,32.014796804669224
4,荆州,112.24552262926136,30.340842107742912
5,随州,113.38945001822157,31.6965167723283
6,黄石,115.0455329089436,30.2052078489416
7,宜昌,111.29254921035435,30.697446484492374
8,荆门,112.20639298023,31.041732575569625
9,咸宁,114.32851909026844,29.84705594764649
10,鄂州,114.901607388271,30.39657217331699
11,十堰,110.80452956069568,32.63506185840116
12,仙桃,113.44960935856369,30.33358775114635
13,恩施州,109.49459261857504,30.27793957530109
14,天门,113.17240916632808,30.669621830099484
15,潜江,112.9054740908161,30.408357932418923
16,神农架林区,110.68252485039976,31.75049601124641
17,深圳,114.06455183658753,22.548456637984177
18,广州,113.27143134445974,23.135336306695013
19,珠海,113.58255478654918,22.27656465424921
20,佛山,113.1285121954972,23.02775875078891
21,东莞,113.7584204578765,23.02730841164339
22,中山,113.39942236263187,22.5223146707905
23,惠州,114.42355801658171,23.116358854725593
24,汕头,116.6885286405483,23.35909171772515
25,湛江,110.36555441392824,21.276723439012073
26,肇庆,112.47148894063037,23.052888771125613
27,阳江,111.98848929181268,21.864339726138937
28,梅州,116.1295373761225,24.294177532206213
29,清远,113.06246832527266,23.688230292088083
30,江门,113.08855619524044,22.584603880965
31,韶关,113.6035273456226,24.815881278583017
32,茂名,110.931542579969,21.66906403133209
33,揭阳,116.37851218033846,23.555740488275585
34,汕尾,115.38155260365083,22.79126303654673
35,潮州,116.62947017362819,23.66262319261589
36,河源,114.7074462729064,23.74968437095975
37,温州,120.70647689035565,28.001085404472214
38,杭州,120.2155118037217,30.253082981693467
39,台州,121.42743470427969,28.662194055996146
40,宁波,121.62857249434141,29.86603304586605
41,金华,119.65343619052915,29.084639385513697
42,绍兴,120.58547847885336,30.036369311306895
43,嘉兴,120.76355182586005,30.750974830920143
44,丽水,119.9295730584414,28.473278180563412
45,衢州,118.86659674035565,28.975545802265025
46,湖州,120.09451660915786,30.898963937294184
