cityName,longitude,latitude
武汉,114.3115816,30.59846674
黄冈,114.8784905,30.45935886
孝感,113.9225101,30.93068923
襄阳,112.1285372,32.0147968
荆州,112.2455226,30.34084211
随州,113.38945,31.69651677
黄石,115.0455329,30.20520785
宜昌,111.2925492,30.69744648
荆门,112.206393,31.04173258
咸宁,114.3285191,29.84705595
鄂州,114.9016074,30.39657217
十堰,110.8045296,32.63506186
仙桃,113.4496094,30.33358775
恩施州,109.4945926,30.27793958
天门,113.1724092,30.66962183
潜江,112.9054741,30.40835793
神农架林区,110.6825249,31.75049601
温州,120.7064769,28.0010854
杭州,120.2155118,30.25308298
台州,121.4274347,28.66219406
宁波,121.6285725,29.86603305
金华,119.6534362,29.08463939
绍兴,120.5854785,30.03636931
嘉兴,120.7635518,30.75097483
丽水,119.9295731,28.47327818
衢州,118.8665967,28.9755458
湖州,120.0945166,30.89896394
舟山,122.2135563,29.99091168
深圳,114.0645518,22.54845664
广州,113.2714313,23.13533631
珠海,113.5825548,22.27656465
佛山,113.1285122,23.02775875
东莞,113.7584205,23.02730841
中山,113.3994224,22.52231467
惠州,114.423558,23.11635885
汕头,116.6885286,23.35909172
湛江,110.3655544,21.27672344
阳江,111.9884893,21.86433973
肇庆,112.4714889,23.05288877
梅州,116.1295374,24.29417753
清远,113.0624683,23.68823029
江门,113.0885562,22.58460388
韶关,113.6035273,24.81588128
茂名,110.9315426,21.66906403
揭阳,116.3785122,23.55574049
汕尾,115.3815526,22.79126304
潮州,116.6294702,23.66262319
河源,114.7074463,23.74968437
信阳,114.0974828,32.15301455
南阳,112.5345013,32.9965622
郑州,113.6314192,34.75343885
驻马店,114.0284708,33.01784242
商丘,115.6624493,34.42020167
周口,114.7034825,33.63182888
新乡,113.9336005,35.30963993
安阳市,114.3995004,36.10594098
平顶山,113.1995286,33.77205075
许昌,113.8584755,34.04143161
漯河市,114.0234208,33.58771071
开封,114.3145926,34.80288581
洛阳,112.4594213,34.62426278
焦作,113.2485478,35.22096325
鹤壁,114.3035936,35.75235741
三门峡,111.2065332,34.77832725
濮阳,115.0355975,35.76759303
济源,112.6085807,35.07290723
长沙,112.9454732,28.2348894
岳阳,113.1354894,29.36317829
邵阳,111.4744329,27.24527027
常德,111.7054522,29.03775
娄底,112.0015035,27.7032086
益阳,112.361516,28.55971118
衡阳,112.5784472,26.89957614
株洲,113.1404708,27.83356764
怀化,110.0085143,27.5751609
永州,111.6194551,26.42586412
郴州,113.0214605,25.77668327
湘潭,112.9504642,27.83570223
张家界,110.4855325,29.12281556
南昌,115.8645894,28.6894553
九江,116.0075349,29.71134056
新余,114.9235347,27.8235787
上饶,117.9494596,28.46062592
赣州,114.9405034,25.8351761
宜春,114.4235637,27.82085642
抚州,116.3645388,27.95489225
萍乡,113.8614964,27.62839271
吉安,115.0005107,27.11972683
鹰潭,117.0755754,28.26578706
景德镇,117.1845764,29.27424771
合肥,117.2334427,31.82657783
阜阳,115.8204361,32.89606099
亳州,115.7844632,33.8506427
安庆,117.0636039,30.53095657
蚌埠,117.3955133,32.9215237
六安,116.5264097,31.74145082
马鞍山,118.5135796,31.6762656
宿州,116.9705439,33.65209533
芜湖,118.4394314,31.35853666
铜陵,117.8184768,30.95123324
淮北,116.8045373,33.9616563
淮南,117.0063889,32.6318474
滁州,118.3394061,32.26127087
池州,117.498421,30.67088379
黄山,118.3454373,29.72188979
宣城,118.7655342,30.94660155
万州区,108.4155584,30.81362164
九龙坡区,106.5175587,29.50792772
开州区,108.3994977,31.16664411
云阳县,108.7034475,30.93661127
渝中区,106.5754401,29.55909018
江北区,121.5604213,29.89294838
垫江县,107.3395659,30.33329397
忠县,108.0445375,30.30526839
两江新区,106.5725816,29.68005454
渝北区,106.6375591,29.72392734
长寿区,107.0875311,29.86352007
綦江区,106.6574842,29.03411375
石柱县,108.1204142,30.0061087
巫溪县,109.5764026,31.40488001
合川区,106.2825411,29.97818124
奉节县,109.4704728,31.02460177
荣昌区,105.6014198,29.4113074
璧山区,106.2334746,29.59834661
巫山县,109.8855455,31.08051881
大渡口区,106.4885336,29.49010713
